Time,data
1659031892.8624222,0
1659031892.8828719,0
1659031892.9026914,0
1659031892.9231048,0
1659031892.9482825,0
1659031892.9686668,0
1659031892.9891791,0
1659031893.0098083,0
1659031893.0301235,0
1659031893.0504603,0
1659031893.0709412,0
1659031893.0915563,0
1659031893.1120713,0
1659031893.1327777,0
1659031893.153199,0
1659031893.1737723,0
1659031893.1943219,0
1659031893.2147388,0
1659031893.2414541,0
1659031893.256054,0
1659031893.276408,0
1659031893.2967281,3
1659031893.3187315,3
1659031893.3429143,3
1659031893.3634696,3
1659031893.384034,3
1659031893.4044771,3
1659031893.425165,3
1659031893.4408991,3
1659031893.461359,3
1659031893.4817772,3
1659031893.5024908,3
1659031893.5228488,3
1659031893.5476277,3
1659031893.5681787,3
1659031893.5886948,3
1659031893.608945,3
1659031893.6295116,3
1659031893.655202,3
1659031893.6758907,3
1659031893.6961381,3
1659031893.7164776,3
1659031893.7379918,3
1659031893.7579305,3
1659031893.778357,3
1659031893.7988997,3
1659031893.8248475,3
1659031893.8454835,3
1659031893.8604918,3
1659031893.8811975,3
1659031893.90719,3
1659031893.9222343,3
1659031893.947467,3
1659031893.9679277,3
1659031893.9885855,3
1659031894.0091224,3
1659031894.0294788,3
1659031894.0501792,3
1659031894.0706291,3
1659031894.0911257,3
1659031894.1116748,3
1659031894.13218,3
1659031894.1529853,3
1659031894.1734748,3
1659031894.1936517,3
1659031894.2141902,3
1659031894.2347383,3
1659031894.260985,3
1659031894.2759361,3
1659031894.3017743,3
1659031894.3223453,3
1659031894.3430622,3
1659031894.3635597,3
1659031894.3841622,3
1659031894.404884,3
1659031894.4254162,3
1659031894.4457555,3
1659031894.466268,3
1659031894.4861143,3
1659031894.5073369,3
1659031894.5276752,3
1659031894.5482235,3
1659031894.5681515,3
1659031894.5888364,3
1659031894.6091697,3
1659031894.6347,3
1659031894.6552422,3
1659031894.6757514,3
1659031894.69645,3
1659031894.7165267,3
1659031894.7386868,3
1659031894.7626688,3
1659031894.778302,3
1659031894.80325,3
1659031894.8238032,3
1659031894.8442955,3
1659031894.8647645,3
1659031894.8855755,3
1659031894.905918,3
1659031894.926458,3
1659031894.946839,3
1659031894.9673345,3
1659031894.9878926,3
1659031895.0083866,3
1659031895.0286784,3
1659031895.0491076,3
1659031895.0695596,3
1659031895.0900798,3
1659031895.110644,3
1659031895.1309776,3
1659031895.1515644,3
1659031895.166833,3
1659031895.187448,3
1659031895.207765,3
1659031895.2282305,3
1659031895.253893,3
1659031895.2745304,3
1659031895.2949,3
1659031895.315296,3
1659031895.3356705,3
1659031895.3562694,3
1659031895.3766844,3
1659031895.3982718,3
1659031895.4182825,3
1659031895.4388223,3
1659031895.4593706,3
1659031895.4799345,3
1659031895.500299,3
1659031895.5207987,3
1659031895.5463102,3
1659031895.5616574,3
1659031895.5821698,3
1659031895.6077986,3
1659031895.6277666,3
1659031895.6432629,3
1659031895.6687727,3
1659031895.6893325,3
1659031895.7097673,3
1659031895.7301426,3
1659031895.7506523,3
1659031895.771267,3
1659031895.791861,3
1659031895.8123674,3
1659031895.843966,3
1659031895.859267,3
1659031895.8739538,3
1659031895.8945727,3
1659031895.9207244,3
1659031895.9414494,3
1659031895.9618428,3
1659031895.9823282,3
1659031896.002732,3
1659031896.023287,3
1659031896.043579,3
1659031896.0640345,3
1659031896.084562,3
1659031896.1044137,3
1659031896.1253479,3
1659031896.1505349,3
1659031896.1662817,3
1659031896.186845,3
1659031896.2074037,3
1659031896.2278035,3
1659031896.247815,3
1659031896.273478,3
1659031896.293893,3
1659031896.3143544,3
1659031896.334857,3
1659031896.361066,3
1659031896.3817863,3
1659031896.4028542,3
1659031896.423274,3
1659031896.442846,3
1659031896.4634397,3
1659031896.4836988,3
1659031896.5093396,3
1659031896.5298254,3
1659031896.5504537,3
1659031896.5657067,3
1659031896.5866935,3
1659031896.6118746,3
1659031896.6323094,3
1659031896.6529853,3
1659031896.67347,3
1659031896.6938024,3
1659031896.7250726,3
1659031896.7345414,3
1659031896.76038,3
1659031896.7755644,3
1659031896.7960134,3
1659031896.8164895,3
1659031896.837377,3
1659031896.8575275,3
1659031896.8830848,3
1659031896.9039395,3
1659031896.9244328,3
1659031896.94484,3
1659031896.9654696,3
1659031896.9857662,3
1659031897.0061657,3
1659031897.0268545,3
1659031897.04703,3
1659031897.0675557,3
1659031897.0882015,3
1659031897.1085181,3
1659031897.1341758,3
1659031897.1551573,3
1659031897.1755948,3
1659031897.1959348,3
1659031897.221994,3
1659031897.2369015,3
1659031897.2629192,3
1659031897.2834535,3
1659031897.3040411,3
1659031897.3245473,3
1659031897.3450027,3
1659031897.3651175,3
1659031897.3857179,3
1659031897.4059782,3
1659031897.42638,3
1659031897.4470668,3
1659031897.4675398,3
1659031897.4929426,3
1659031897.5133266,3
1659031897.5337856,3
1659031897.5545042,3
1659031897.574751,3
1659031897.5952873,3
1659031897.6156118,3
1659031897.6361415,3
1659031897.6584034,3
1659031897.678604,3
1659031897.6990707,3
1659031897.719337,3
1659031897.7451441,3
1659031897.7604387,3
1659031897.7808459,3
1659031897.8014343,3
1659031897.8263807,3
1659031897.8488982,3
1659031897.8683631,3
1659031897.8891299,3
1659031897.9096644,3
1659031897.9356606,3
1659031897.9522235,3
1659031897.9715035,3
1659031897.9967306,3
1659031898.0183635,3
1659031898.038948,3
1659031898.0589392,3
1659031898.0794075,3
1659031898.0997,3
1659031898.1211107,3
1659031898.1419044,3
1659031898.1624544,3
1659031898.183145,3
1659031898.2041442,3
1659031898.2287064,3
1659031898.2445579,3
1659031898.269504,3
1659031898.2852175,3
1659031898.3057837,3
1659031898.3263183,3
1659031898.346626,3
1659031898.3719969,3
1659031898.3930516,3
1659031898.413808,3
1659031898.4345372,3
1659031898.455599,3
1659031898.4762135,3
1659031898.496103,3
1659031898.5219917,3
1659031898.5424047,3
1659031898.5622437,3
1659031898.5828748,3
1659031898.6033697,3
1659031898.6237366,3
1659031898.6450968,3
1659031898.6659555,3
1659031898.6867194,3
1659031898.7078035,3
1659031898.7277548,3
1659031898.7475438,3
1659031898.77322,3
1659031898.7885058,3
1659031898.8088024,3
1659031898.834731,3
1659031898.8497736,3
1659031898.8754704,3
1659031898.8907983,3
1659031898.9115393,3
1659031898.9322658,3
1659031898.9592135,3
1659031898.9739933,3
1659031899.00028,3
1659031899.0206373,3
1659031899.0408368,3
1659031899.0612025,3
1659031899.0815306,3
1659031899.1022577,3
1659031899.1227307,3
1659031899.1433918,3
1659031899.163881,3
1659031899.1855288,3
1659031899.2062438,3
1659031899.226676,3
1659031899.2475972,3
1659031899.266901,3
1659031899.287624,3
1659031899.3081145,3
1659031899.3284874,3
1659031899.3488119,3
1659031899.3694644,3
1659031899.3949192,3
1659031899.4106503,3
1659031899.4308603,3
1659031899.452121,3
1659031899.4783013,3
1659031899.4984894,3
1659031899.5238123,3
1659031899.5395763,3
1659031899.5598931,3
1659031899.580243,3
1659031899.6007514,3
1659031899.6214588,3
1659031899.6417913,3
1659031899.6625159,3
1659031899.6832871,3
1659031899.7096236,3
1659031899.7247992,3
1659031899.7452428,3
1659031899.7661054,3
1659031899.7917488,3
1659031899.812129,3
1659031899.8325121,3
1659031899.853082,3
1659031899.8734245,3
1659031899.893811,3
1659031899.9145215,3
1659031899.9349687,3
1659031899.9557176,3
1659031899.9762757,3
1659031899.9921129,3
1659031900.0183434,3
1659031900.038923,3
1659031900.0592463,3
1659031900.0796838,3
1659031900.1000962,3
1659031900.1205485,3
1659031900.1458673,3
1659031900.161527,3
1659031900.182083,3
1659031900.2083793,3
1659031900.228299,3
1659031900.243762,3
1659031900.2669644,3
1659031900.285281,3
1659031900.306082,3
1659031900.3260705,3
1659031900.3518717,3
1659031900.3721843,3
1659031900.3926647,3
1659031900.4131503,3
1659031900.4338675,3
1659031900.454472,3
1659031900.4746263,3
1659031900.5011249,3
1659031900.5221398,3
1659031900.5427198,3
1659031900.5633047,3
1659031900.583424,3
1659031900.6039195,3
1659031900.6289687,3
1659031900.6446803,3
1659031900.6653612,3
1659031900.686172,3
1659031900.7066233,3
1659031900.727373,3
1659031900.7528226,3
1659031900.7737935,3
1659031900.7949715,3
1659031900.8149502,3
1659031900.8299117,3
1659031900.8502831,3
1659031900.870893,3
1659031900.8914804,3
1659031900.9184911,3
1659031900.9385607,3
1659031900.9584727,3
1659031900.9844906,3
1659031901.004702,3
1659031901.0211601,3
1659031901.041782,3
1659031901.0624304,3
1659031901.0826426,3
1659031901.1027334,3
1659031901.1234732,3
1659031901.143576,3
1659031901.1639235,3
1659031901.184224,3
1659031901.2043064,3
1659031901.2247627,3
1659031901.2451036,3
1659031901.2712843,3
1659031901.292326,3
1659031901.313259,3
1659031901.3335226,3
1659031901.3536205,3
1659031901.3739223,3
1659031901.394478,3
1659031901.414826,3
1659031901.435374,3
1659031901.4558866,3
1659031901.47638,3
1659031901.4977565,3
1659031901.5183923,3
1659031901.543828,3
1659031901.564114,3
1659031901.5792089,3
1659031901.599837,3
1659031901.6201894,3
1659031901.64086,3
1659031901.661171,3
1659031901.68146,3
1659031901.7072256,3
1659031901.7273397,3
1659031901.7474756,3
1659031901.7678938,3
1659031901.7886877,3
1659031901.8151855,3
1659031901.8382518,3
1659031901.8529656,3
1659031901.8734028,3
1659031901.8990197,3
1659031901.9194303,3
1659031901.94001,3
1659031901.9610963,3
1659031901.9815242,3
1659031902.0020852,3
1659031902.0225809,3
1659031902.0432072,3
1659031902.0639045,3
1659031902.0845158,3
1659031902.1049535,3
1659031902.1255226,3
1659031902.1458156,3
1659031902.1707442,3
1659031902.191181,3
1659031902.2116714,3
1659031902.2321067,3
1659031902.2526405,3
1659031902.2731938,3
1659031902.2938237,3
1659031902.3148456,3
1659031902.3348825,3
1659031902.3616238,3
1659031902.3814764,3
1659031902.402089,3
1659031902.4226167,3
1659031902.4424434,3
1659031902.4628901,3
1659031902.4833694,3
1659031902.5090213,3
1659031902.5241811,3
1659031902.544734,3
1659031902.570648,3
1659031902.5911129,3
1659031902.6115768,3
1659031902.6319957,3
1659031902.6527798,3
1659031902.6731617,3
1659031902.6937397,3
1659031902.719651,3
1659031902.740034,3
1659031902.760521,3
1659031902.7811117,3
1659031902.80191,3
1659031902.8226233,3
1659031902.8435087,3
1659031902.8630855,3
1659031902.8837986,3
1659031902.9091222,3
1659031902.924737,3
