Time,data
1659031892.862428,2
1659031892.8829033,2
1659031892.9027207,2
1659031892.9231167,2
1659031892.9482863,2
1659031892.96872,2
1659031892.9892197,2
1659031893.0098147,2
1659031893.0301363,2
1659031893.0504718,2
1659031893.0709317,2
1659031893.0915797,2
1659031893.1120815,2
1659031893.1327899,2
1659031893.1531858,2
1659031893.1737976,2
1659031893.194312,2
1659031893.2147388,2
1659031893.2414632,2
1659031893.2560828,2
1659031893.2763598,2
1659031893.2974749,2
1659031893.3188393,2
1659031893.3429308,2
1659031893.3635113,1
1659031893.3840692,1
1659031893.4045107,1
1659031893.425175,1
1659031893.440919,1
1659031893.4613745,1
1659031893.4817848,1
1659031893.502503,1
1659031893.522865,1
1659031893.5477018,1
1659031893.5683131,1
1659031893.5887256,1
1659031893.608998,1
1659031893.6296062,1
1659031893.6552086,1
1659031893.6758955,1
1659031893.6961913,1
1659031893.716489,1
1659031893.738027,1
1659031893.7580307,1
1659031893.7782557,1
1659031893.7989278,1
1659031893.824854,1
1659031893.845495,1
1659031893.8605783,1
1659031893.8812053,1
1659031893.907205,1
1659031893.9222414,1
1659031893.9474585,1
1659031893.967939,1
1659031893.988643,1
1659031894.0091538,1
1659031894.0295277,1
1659031894.0501866,1
1659031894.0706458,1
1659031894.0911546,1
1659031894.1116836,1
1659031894.1321864,1
1659031894.1530511,1
1659031894.173477,1
1659031894.1938586,1
1659031894.2141974,1
1659031894.2348099,1
1659031894.2609918,1
1659031894.2759657,1
1659031894.301782,1
1659031894.3223498,1
1659031894.3430824,1
1659031894.3636491,1
1659031894.3841634,1
1659031894.4047685,1
1659031894.4254718,1
1659031894.4457672,1
1659031894.4663036,1
1659031894.4861288,1
1659031894.5074363,1
1659031894.5276906,1
1659031894.548272,1
1659031894.5681822,1
1659031894.5888712,1
1659031894.6090558,1
1659031894.6348546,1
1659031894.655312,1
1659031894.6757734,1
1659031894.6961648,1
1659031894.7166152,1
1659031894.7387798,1
1659031894.762731,1
1659031894.778344,1
1659031894.8032994,1
1659031894.8240411,1
1659031894.8443375,1
1659031894.8647742,5
1659031894.8855815,5
1659031894.905956,5
1659031894.9264624,5
1659031894.9469323,5
1659031894.9673398,5
1659031894.9879317,5
1659031895.0083983,5
1659031895.0288396,5
1659031895.049116,5
1659031895.0695426,5
1659031895.0901039,5
1659031895.1106718,5
1659031895.1310086,5
1659031895.1515727,5
1659031895.1668453,5
1659031895.187448,5
1659031895.2077723,5
1659031895.228247,5
1659031895.2539039,5
1659031895.274531,5
1659031895.2949207,5
1659031895.3153667,5
1659031895.335702,5
1659031895.3562996,5
1659031895.3767335,5
1659031895.3983808,5
1659031895.4182715,5
1659031895.4389753,5
1659031895.459461,5
1659031895.4799438,5
1659031895.5003738,5
1659031895.520848,5
1659031895.5463195,5
1659031895.5617228,5
1659031895.5822017,5
1659031895.6078262,5
1659031895.6277761,5
1659031895.6432834,5
1659031895.6688511,5
1659031895.6892729,5
1659031895.7098036,5
1659031895.7301152,5
1659031895.750678,5
1659031895.7713041,5
1659031895.7918773,5
1659031895.8122866,5
1659031895.843978,5
1659031895.8592649,5
1659031895.873952,5
1659031895.8946097,5
