Time,data
1615406165.421245,5
1615406165.430887,5
1615406165.4513857,5
1615406165.4717796,5
1615406165.4922154,5
1615406165.513187,5
1615406165.533813,5
1615406165.5494285,5
1615406165.5748796,5
1615406165.5953677,5
1615406165.6156325,5
1615406165.6363263,5
1615406165.6567426,5
1615406165.6771564,5
1615406165.6976712,5
1615406165.7180834,5
1615406165.7388792,5
1615406165.7590451,5
1615406165.779401,5
1615406165.7998369,5
1615406165.8204596,5
1615406165.846433,5
1615406165.8669815,5
1615406165.8875127,5
1615406165.9075143,5
1615406165.927925,5
1615406165.9483125,5
1615406165.9687488,5
1615406165.9892118,5
1615406166.009761,5
1615406166.0304809,5
1615406166.045691,5
1615406166.0666816,5
1615406166.0872605,5
1615406166.1130598,5
1615406166.1281524,5
1615406166.1488178,5
1615406166.1693687,5
1615406166.1899264,5
1615406166.215863,5
1615406166.2361894,5
1615406166.256661,5
1615406166.2768946,5
1615406166.2974155,5
1615406166.3177931,5
1615406166.3381526,5
1615406166.3585856,5
1615406166.379187,5
1615406166.4002812,5
1615406166.420991,5
1615406166.4412205,5
1615406166.4615924,5
1615406166.4821086,5
1615406166.5076323,5
1615406166.5228899,5
1615406166.548629,5
1615406166.5690851,5
1615406166.5896313,5
1615406166.6101136,5
1615406166.630756,5
1615406166.6520634,5
1615406166.6728342,5
1615406166.6931329,5
1615406166.7134247,5
1615406166.7340386,5
1615406166.7544682,5
1615406166.7749262,5
1615406166.800662,5
1615406166.8158221,5
1615406166.841487,5
1615406166.8567545,5
1615406166.8772156,5
1615406166.897712,5
1615406166.9233153,5
1615406166.9438307,5
1615406166.9642549,5
1615406166.9847314,5
1615406167.005066,5
1615406167.0254817,5
1615406167.0459352,5
1615406167.0663981,5
1615406167.0868554,5
1615406167.1073346,5
1615406167.127687,5
1615406167.1480799,5
1615406167.1686292,5
1615406167.189073,5
1615406167.209547,5
1615406167.2299643,5
1615406167.25043,5
1615406167.2708144,5
1615406167.2912416,5
1615406167.3116555,5
1615406167.332099,5
1615406167.3525238,5
1615406167.3729477,5
1615406167.3987556,5
1615406167.4193037,5
1615406167.4397082,5
1615406167.4548042,5
1615406167.4753103,5
1615406167.4957476,5
1615406167.5161638,5
1615406167.5365937,5
1615406167.5570269,5
1615406167.5774271,5
1615406167.6032372,5
1615406167.623659,5
1615406167.644168,5
1615406167.6647015,5
1615406167.6849248,5
1615406167.710484,5
1615406167.7308633,5
1615406167.7513907,5
1615406167.7718425,5
1615406167.7922294,5
1615406167.812745,5
1615406167.833247,5
1615406167.85355,5
1615406167.8792052,5
1615406167.8996847,5
1615406167.9201047,5
1615406167.9353764,5
1615406167.9610267,5
1615406167.9763284,5
1615406168.002131,5
1615406168.0225601,5
1615406168.0429192,5
1615406168.0632522,5
1615406168.083701,5
1615406168.1094043,5
1615406168.1247315,5
1615406168.145343,5
1615406168.1657557,5
1615406168.1862442,5
1615406168.2066143,5
1615406168.232375,5
1615406168.2475567,5
1615406168.268033,5
1615406168.2884896,5
1615406168.309014,5
1615406168.3395617,5
1615406168.3549209,5
1615406168.3752003,5
1615406168.3956046,5
1615406168.4160461,5
1615406168.441706,5
1615406168.4570212,5
1615406168.4776323,5
1615406168.498204,5
1615406168.5186782,5
1615406168.5391607,5
1615406168.5647075,5
1615406168.5851157,5
1615406168.6056817,5
1615406168.626096,5
1615406168.6467628,5
1615406168.6672966,5
1615406168.6878564,5
1615406168.7085426,5
1615406168.7292218,5
1615406168.7495563,5
1615406168.7699897,5
1615406168.7903838,5
1615406168.8108175,5
1615406168.8312645,5
1615406168.8516328,5
1615406168.8771439,5
1615406168.8976526,5
1615406168.9180937,5
1615406168.9385047,5
1615406168.958919,5
1615406168.9794405,5
1615406168.9998899,5
1615406169.0203562,5
1615406169.0356176,5
1615406169.0611303,5
1615406169.081557,5
1615406169.1019824,5
1615406169.122462,5
1615406169.1429293,5
1615406169.1633215,5
1615406169.1889138,5
1615406169.209415,5
1615406169.2298965,5
1615406169.2504172,5
1615406169.2655487,5
1615406169.2859633,5
1615406169.306478,5
1615406169.3321643,5
1615406169.347413,5
1615406169.373048,5
1615406169.3934774,5
1615406169.4138598,5
1615406169.43446,5
1615406169.4548576,5
1615406169.4752834,5
1615406169.4958289,5
1615406169.521508,5
1615406169.5420227,5
1615406169.5573027,5
1615406169.577727,5
1615406169.6033337,5
1615406169.6237514,5
1615406169.6441681,5
1615406169.6646273,5
1615406169.6850119,5
1615406169.7054224,5
1615406169.7258961,5
1615406169.7464097,5
1615406169.766785,5
1615406169.7878501,5
1615406169.8075778,5
1615406169.8280118,5
1615406169.8486192,5
1615406169.869018,5
1615406169.8894594,5
1615406169.9099338,5
1615406169.9304247,5
1615406169.9509842,5
1615406169.9714272,5
1615406169.9918175,5
1615406170.0174356,5
1615406170.0378895,5
1615406170.0582707,5
1615406170.078737,5
1615406170.099181,5
1615406170.119615,5
1615406170.134861,5
1615406170.1553164,5
1615406170.1756089,5
1615406170.2014647,5
1615406170.2218387,5
1615406170.242478,5
1615406170.2625988,5
1615406170.2831342,5
1615406170.3034124,5
1615406170.3289986,5
1615406170.349435,5
1615406170.364848,5
1615406170.3853076,5
1615406170.4057915,5
1615406170.4313831,5
1615406170.446547,5
1615406170.4670708,5
1615406170.4875586,5
1615406170.5132787,5
1615406170.528393,5
1615406170.5540051,5
1615406170.5744934,5
1615406170.5947974,5
1615406170.6155515,5
1615406170.6359916,5
1615406170.6564748,5
1615406170.6770303,5
1615406170.6974509,5
1615406170.7230983,5
1615406170.743409,5
1615406170.7638805,5
1615406170.779072,5
1615406170.804788,5
1615406170.8250785,5
1615406170.8456483,5
1615406170.8660996,5
1615406170.8866622,5
1615406170.9070597,5
1615406170.9277241,5
1615406170.9482293,5
1615406170.9688067,5
1615406170.9892068,5
1615406171.00954,5
1615406171.030061,5
1615406171.0504425,5
1615406171.070826,5
1615406171.0860958,5
1615406171.1116934,5
1615406171.132139,5
1615406171.147484,5
1615406171.1730497,5
1615406171.1935577,5
1615406171.2141135,5
1615406171.2345388,5
1615406171.2548475,5
1615406171.2753818,5
1615406171.2957947,5
1615406171.3162484,5
1615406171.3366745,5
1615406171.3570986,5
1615406171.377582,5
1615406171.3979516,5
1615406171.4184132,5
1615406171.4440243,5
1615406171.4647293,5
1615406171.4852765,5
1615406171.5057087,5
1615406171.5263133,5
1615406171.5465882,5
1615406171.5670795,5
1615406171.5876315,5
1615406171.6079667,5
1615406171.6283643,5
1615406171.648813,5
1615406171.6692579,5
1615406171.6898136,5
1615406171.7102885,5
1615406171.7308404,5
1615406171.751268,5
1615406171.7718992,5
1615406171.797327,5
1615406171.8175952,5
1615406171.8382337,5
1615406171.8586721,5
1615406171.879159,5
1615406171.8944464,5
1615406171.91499,5
1615406171.935577,5
1615406171.9560735,5
1615406171.9765468,5
1615406172.002088,5
1615406172.0277264,5
1615406172.043179,5
1615406172.063602,5
1615406172.0841646,5
1615406172.1045253,5
1615406172.125296,5
1615406172.146389,5
1615406172.1671288,5
1615406172.1876535,5
1615406172.2080846,5
1615406172.2286394,5
1615406172.249261,5
1615406172.269784,5
1615406172.2903202,5
1615406172.31725,5
1615406172.3340013,5
1615406172.3568788,5
1615406172.3733222,5
1615406172.3975568,5
1615406172.4180067,5
1615406172.4385312,5
1615406172.4591784,5
1615406172.4793363,5
1615406172.4996352,5
1615406172.520871,5
1615406172.5413105,5
1615406172.561757,5
1615406172.582165,5
1615406172.6025708,5
1615406172.628118,5
1615406172.648419,5
1615406172.6688728,5
1615406172.6841407,5
1615406172.7098384,5
1615406172.7250347,5
1615406172.75078,5
1615406172.7659163,5
1615406172.786364,5
1615406172.8120706,5
1615406172.8324375,5
1615406172.8528802,5
1615406172.873274,5
1615406172.8938105,5
1615406172.9143093,5
1615406172.934694,5
1615406172.955317,5
1615406172.9757166,5
1615406173.0014875,5
1615406173.0168126,5
1615406173.0423071,5
1615406173.0626354,5
1615406173.083231,5
1615406173.1036465,5
1615406173.1240036,5
1615406173.144314,5
1615406173.1648135,5
1615406173.1852825,5
1615406173.2057688,5
1615406173.2262971,5
1615406173.2467184,5
1615406173.2723236,5
1615406173.2927384,5
1615406173.3130271,5
1615406173.3335826,5
1615406173.3539855,5
1615406173.374443,5
1615406173.4000227,5
1615406173.4205122,5
1615406173.4408553,5
1615406173.466488,5
1615406173.481894,5
1615406173.5073721,5
1615406173.5278344,5
1615406173.548252,5
1615406173.5686843,5
1615406173.589104,5
1615406173.6095386,5
1615406173.6300313,5
1615406173.6504908,5
1615406173.6710215,5
1615406173.6965714,5
1615406173.7169728,5
1615406173.7375438,5
1615406173.7580137,5
1615406173.7784564,5
1615406173.7987385,5
1615406173.8244808,5
1615406173.844888,5
1615406173.8653874,5
1615406173.8804824,5
1615406173.9062266,5
1615406173.9266136,5
1615406173.9471338,5
1615406173.9676106,5
1615406173.9880476,5
1615406174.0085707,5
1615406174.0290146,5
1615406174.0494063,5
1615406174.06989,5
1615406174.090245,5
1615406174.110572,5
1615406174.1361728,5
1615406174.1515214,5
1615406174.1718857,5
1615406174.1976166,5
1615406174.2181044,5
1615406174.2333035,5
1615406174.2590523,5
1615406174.2792377,5
1615406174.2997499,5
1615406174.3201113,5
1615406174.3406227,5
1615406174.3664055,5
1615406174.3867497,5
1615406174.4071631,5
1615406174.4276512,5
1615406174.4481087,5
1615406174.4686124,5
1615406174.48922,5
1615406174.5095057,5
1615406174.5300505,5
1615406174.5502589,5
1615406174.5708282,5
1615406174.5963166,5
1615406174.6167169,5
1615406174.637374,5
1615406174.6575973,5
1615406174.6779785,5
1615406174.7035434,5
1615406174.7240596,5
1615406174.7444313,5
1615406174.7650335,5
1615406174.7853315,5
1615406174.8057659,5
1615406174.8262453,5
1615406174.8468683,5
1615406174.8672585,5
1615406174.8876128,5
1615406174.908069,5
1615406174.9285383,5
1615406174.9489298,5
1615406174.964119,5
1615406174.984574,5
1615406175.0051882,5
1615406175.0255857,5
1615406175.0459676,5
1615406175.0664043,5
1615406175.086954,5
1615406175.1073196,5
1615406175.132933,5
1615406175.1533453,5
1615406175.1740055,5
1615406175.196281,5
1615406175.2161074,5
1615406175.2361412,5
1615406175.2583132,5
1615406175.2760687,5
1615406175.2983031,5
1615406175.3183937,5
1615406175.3388844,5
1615406175.3649013,5
1615406175.385222,5
1615406175.4057605,5
1615406175.4262347,5
1615406175.4471803,5
1615406175.4675503,5
1615406175.4881623,5
1615406175.5084913,5
1615406175.52924,5
1615406175.5495193,5
1615406175.5701716,5
1615406175.5903578,5
1615406175.6108348,5
1615406175.6364503,5
1615406175.651717,5
1615406175.6720705,5
1615406175.6924922,5
1615406175.7129412,5
1615406175.7386596,5
1615406175.759293,5
1615406175.7749157,5
1615406175.80006,5
1615406175.820503,5
1615406175.8409033,5
1615406175.861213,5
1615406175.8817382,5
1615406175.9021432,5
1615406175.9224694,5
1615406175.9481196,5
1615406175.963388,5
1615406175.9839518,5
1615406176.0043619,5
1615406176.0300832,5
1615406176.0453553,5
1615406176.0657785,5
1615406176.0862172,5
1615406176.1066966,5
1615406176.127155,5
1615406176.1475785,5
1615406176.173206,5
1615406176.193663,5
1615406176.214244,5
1615406176.2347758,5
1615406176.2553349,5
1615406176.2759726,5
1615406176.2964985,5
1615406176.3220654,5
1615406176.3425527,5
1615406176.3627543,5
1615406176.3831725,5
1615406176.4036021,5
1615406176.4392896,5
1615406176.4443321,5
1615406176.4648707,5
1615406176.4852095,5
1615406176.5056658,5
1615406176.5261786,5
1615406176.5466413,5
1615406176.5671055,5
1615406176.5927248,5
1615406176.6130471,5
1615406176.6334572,5
1615406176.6538966,5
1615406176.6743329,5
1615406176.6948395,5
1615406176.720517,5
1615406176.7357564,5
1615406176.7560973,5
1615406176.7767727,5
1615406176.8025322,5
1615406176.8230042,5
1615406176.84337,5
1615406176.8638885,5
1615406176.8843539,5
1615406176.904799,5
1615406176.925115,5
1615406176.945567,5
1615406176.9710073,5
1615406176.9863546,5
1615406177.0067697,5
1615406177.0272324,5
1615406177.0527716,5
1615406177.0733042,5
1615406177.0937061,5
1615406177.114151,5
1615406177.1346388,5
1615406177.1550014,5
1615406177.1754599,5
1615406177.1958253,5
1615406177.2214987,5
1615406177.241954,5
1615406177.2624452,5
1615406177.2829168,5
1615406177.3033643,5
1615406177.323731,5
1615406177.3441722,5
1615406177.3645964,5
1615406177.3851016,5
1615406177.405542,5
1615406177.425869,5
1615406177.4513917,5
1615406177.471839,5
1615406177.4922895,5
1615406177.5127547,5
1615406177.5332649,5
1615406177.5538325,5
1615406177.5740848,5
1615406177.5996654,5
1615406177.6200042,5
1615406177.6456182,5
1615406177.6662161,5
1615406177.6815112,5
1615406177.701928,5
1615406177.7275894,5
1615406177.748158,5
1615406177.768663,5
1615406177.7890851,5
1615406177.809452,5
1615406177.8300192,5
1615406177.8503485,5
1615406177.8707354,5
1615406177.8911142,5
1615406177.9167006,5
1615406177.9320376,5
1615406177.9525025,5
1615406177.9730594,5
1615406177.9987423,5
1615406178.019169,5
1615406178.0396936,5
1615406178.0601456,5
1615406178.0856483,5
1615406178.1010058,5
1615406178.1214263,5
1615406178.1425092,5
1615406178.1624265,5
1615406178.1834202,5
1615406178.2038097,5
1615406178.224393,5
1615406178.2446384,5
1615406178.265137,5
1615406178.2855356,5
1615406178.3113935,5
1615406178.3266604,5
1615406178.352183,5
1615406178.3729715,5
1615406178.3948882,5
1615406178.4153755,5
1615406178.4353895,5
1615406178.450524,5
1615406178.4717214,5
1615406178.4955845,5
1615406178.5119722,5
1615406178.5362592,5
1615406178.5535672,5
1615406178.5834239,5
