Time,data
1615421101.3334079,3
1615421101.3432035,3
1615421101.3637516,3
1615421101.3843424,3
1615421101.405642,3
1615421101.42617,3
1615421101.447027,3
1615421101.4666896,3
1615421101.4872437,3
1615421101.512786,3
1615421101.528016,3
1615421101.5537953,3
1615421101.5690033,3
1615421101.5894365,3
1615421101.6150277,3
1615421101.6353369,3
1615421101.65666,3
1615421101.6768415,3
1615421101.6976926,3
1615421101.7229602,3
1615421101.743698,3
1615421101.7587447,3
1615421101.7844892,3
1615421101.805103,3
1615421101.8255513,3
1615421101.8459587,3
1615421101.8665018,3
1615421101.887049,3
1615421101.9077528,3
1615421101.9284902,3
1615421101.9488034,3
1615421101.9697428,3
1615421101.990303,3
1615421102.0104806,3
1615421102.0359595,3
1615421102.0616198,3
1615421102.076936,3
1615421102.0974329,3
1615421102.1179159,3
1615421102.1383224,3
1615421102.1588454,3
1615421102.1799777,3
1615421102.2004738,3
1615421102.2267537,3
1615421102.2419336,3
1615421102.2626622,3
1615421102.2824388,3
1615421102.3030655,3
1615421102.3235085,3
1615421102.3439531,3
1615421102.3695602,3
1615421102.3900337,3
1615421102.4104733,3
1615421102.431414,3
1615421102.4520955,3
1615421102.4726555,3
1615421102.4931107,3
1615421102.5135264,3
1615421102.5341516,3
1615421102.5546157,3
1615421102.5697055,3
1615421102.5954173,3
1615421102.615991,3
1615421102.6311882,3
1615421102.6569982,3
1615421102.6775146,3
1615421102.6983154,3
1615421102.7188597,3
1615421102.739556,3
1615421102.7603498,3
1615421102.7812507,3
1615421102.8017495,3
1615421102.8220053,3
1615421102.84258,3
1615421103.000166,3
1615421103.0001876,3
1615421103.0002043,3
1615421103.0002205,3
1615421103.0002365,3
1615421103.0002518,3
1615421103.0002675,3
1615421103.0084126,3
1615421103.02899,3
1615421103.05004,3
1615421103.070589,3
1615421103.091085,3
1615421103.1118565,3
1615421103.1380541,3
1615421103.158776,3
1615421103.1740224,3
1615421103.1999733,3
1615421103.220777,3
1615421103.2415445,3
1615421103.2620842,3
1615421103.2826242,3
1615421103.303384,3
1615421103.3447695,3
1615421103.365723,3
1615421103.3799558,3
1615421103.40569,3
1615421103.4210227,3
1615421103.4413776,3
1615421103.4618504,3
1615421103.4874983,3
1615421103.5080593,3
1615421103.5285165,3
1615421103.5491166,3
1615421103.5700688,3
1615421103.590833,3
1615421103.6115513,3
1615421103.6324527,3
1615421103.652928,3
1615421103.673611,3
1615421103.6943843,3
1615421103.7201931,3
1615421103.7410827,3
1615421103.7619567,3
1615421103.782727,3
1615421103.8034556,3
1615421103.8241136,3
1615421103.8442347,3
1615421103.8653789,3
1615421103.8858457,3
1615421103.9063356,3
1615421103.9268322,3
1615421103.9418447,3
1615421103.9680183,3
1615421103.9877732,3
1615421104.0134125,3
1615421104.0337965,3
1615421104.0542946,3
1615421104.0695097,3
1615421104.090169,3
1615421104.1103344,3
1615421104.1308372,3
1615421104.1565871,3
1615421104.1769743,3
1615421104.19742,3
1615421104.2229443,3
1615421104.3676906,3
1615421104.3880453,3
1615421104.4084961,3
1615421104.429679,3
1615421104.4501987,3
1615421104.470964,3
1615421104.491461,3
1615421104.511691,3
1615421104.532233,3
1615421104.5528097,3
1615421104.5732934,3
1615421104.593737,3
1615421104.6141148,3
1615421104.6346567,3
1615421104.6552393,3
1615421104.676457,3
1615421104.6971474,3
1615421104.7181954,3
1615421104.738853,3
1615421104.7600226,3
1615421104.7795267,3
1615421104.7999775,3
1615421104.8203723,3
1615421104.8409383,3
1615421104.8614376,3
1615421104.8819716,3
1615421104.9023163,3
1615421104.927983,3
